"","V1","V2","V3"
"1",0.025316,0.250000,469
"2",0.012658,0.181818,129
"3",0.006329,0.125000,152
"4",0.006329,0.125000,126
"5",0.018987,0.230769,301
"6",0.006329,0.111111,165
"7",0.006329,0.111111,109
"8",0.018987,0.214286,358
"9",0.025316,0.250000,327
"10",0.025316,0.266667,241
"11",0.006329,0.125000,4
"12",0.031646,0.277778,308
"13",0.012658,0.181818,71
"14",0.018987,0.250000,349
"15",0.018987,0.230769,312
"16",0.006329,0.111111,116
"17",0.006329,0.111111,207
"18",0.025316,0.235294,405
"19",0.012658,0.166667,109
"20",0.025316,0.222222,371
"21",0.006329,0.125000,36
"22",0.006329,0.125000,173
"23",0.025316,0.266667,330
"24",0.006329,0.125000,323
"25",0.025316,0.250000,284
"26",0.037975,0.300000,509
"27",0.018987,0.230769,144
"28",0.018987,0.230769,180
"29",0.006329,0.111111,342
"30",0.006329,0.125000,224
"31",0.012658,0.181818,175
"32",0.006329,0.111111,62
"33",0.037975,0.272727,297
"34",0.012658,0.181818,270
"35",0.037975,0.272727,391
"36",0.025316,0.250000,438
"37",0.006329,0.125000,135
"38",0.037975,0.300000,432
"39",0.037975,0.300000,329
"40",0.006329,0.111111,66
"41",0.012658,0.181818,387
"42",0.006329,0.125000,424
"43",0.012658,0.181818,434
"44",0.006329,0.111111,149
"45",0.006329,0.111111,126
"46",0.006329,0.111111,224
"47",0.012658,0.200000,113
"48",0.006329,0.125000,419
"49",0.006329,0.125000,151
"50",0.044304,0.318182,516
"51",0.006329,0.125000,223
"52",0.006329,0.111111,103
"53",0.012658,0.166667,131
"54",0.063291,0.322581,510
"55",0.025316,0.222222,397
"56",0.012658,0.181818,132
"57",0.006329,0.125000,195
"58",0.012658,0.166667,119
"59",0.006329,0.125000,359
"60",0.018987,0.214286,192
"61",0.025316,0.250000,318
"62",0.018987,0.230769,193
"63",0.031646,0.294118,276
"64",0.006329,0.125000,45
"65",0.006329,0.125000,129
"66",0.012658,0.181818,156
"67",0.006329,0.111111,246
"68",0.006329,0.111111,169
"69",0.006329,0.125000,160
"70",0.018987,0.230769,280
"71",0.018987,0.230769,284
"72",0.006329,0.125000,191
"73",0.031646,0.277778,376
"74",0.006329,0.125000,157
"75",0.018987,0.214286,558
"76",0.018987,0.214286,206
"77",0.012658,0.200000,167
"78",0.006329,0.125000,230
"79",0.006329,0.125000,211
"80",0.018987,0.250000,278
"81",0.063291,0.322581,527
"82",0.063291,0.322581,649
"83",0.018987,0.230769,692
"84",0.006329,0.111111,125
"85",0.018987,0.214286,241
"86",0.012658,0.181818,170
"87",0.012658,0.181818,175
"88",0.044304,0.318182,183
"89",0.006329,0.125000,173
"90",0.031646,0.263158,306
"91",0.056962,0.333333,607
"92",0.006329,0.125000,138
"93",0.006329,0.111111,213
"94",0.006329,0.125000,229
"95",0.006329,0.125000,56
"96",0.012658,0.166667,289
"97",0.006329,0.125000,206
"98",0.018987,0.230769,210
"99",0.025316,0.266667,240
"100",0.006329,0.125000,249
"101",0.012658,0.166667,130
"102",0.006329,0.111111,247
"103",0.012658,0.181818,112
"104",0.006329,0.111111,80
"105",0.025316,0.266667,334
"106",0.006329,0.125000,182
"107",0.012658,0.200000,327
"108",0.012658,0.166667,191
"109",0.012658,0.200000,140
"110",0.006329,0.125000,152
"111",0.006329,0.111111,241
